X: 61.63, Y: 82.94, Z: -136.25
Orientation (relative to zeroed reference): X: 59.69, Y: 83.56, Z: -175.25
Orientation (relative to zeroed reference): X: 56.69, Y: 85.00, Z: -177.06
Orientation (relative to zeroed reference): X: 55.56, Y: 85.69, Z: -177.81
Orientation (relative to zeroed reference): X: 57.50, Y: 86.00, Z: -177.50
Orientation (relative to zeroed reference): X: 59.44, Y: 85.56, Z: -177.00
Orientation (relative to zeroed reference): X: 62.25, Y: 88.31, Z: -179.56
Orientation (relative to zeroed reference): X: 71.44, Y: 80.50, Z: 64.56
Orientation (relative to zeroed reference): X: 66.94, Y: 64.12, Z: 73.69
Orientation (relative to zeroed reference): X: 56.44, Y: 42.88, Z: 85.00
Orientation (relative to zeroed reference): X: 44.56, Y: 20.69, Z: 92.19
Orientation (relative to zeroed reference): X: 35.81, Y: 2.56, Z: 97.87
Orientation (relative to zeroed reference): X: 40.63, Y: -6.00, Z: 107.94
Orientation (relative to zeroed reference): X: 62.94, Y: 0.81, Z: 117.94
Orientation (relative to zeroed reference): X: 98.81, Y: 19.19, Z: 127.75
Orientation (relative to zeroed reference): X: 139.00, Y: 40.56, Z: 139.81
Orientation (relative to zeroed reference): X: 148.00, Y: 70.50, Z: 136.81
Orientation (relative to zeroed reference): X: 104.75, Y: 78.50, Z: -167.12
Orientation (relative to zeroed reference): X: 36.06, Y: 62.06, Z: 133.94
Orientation (relative to zeroed reference): X: 358.50, Y: 36.88, Z: 137.25
Orientation (relative to zeroed reference): X: 338.31, Y: 26.37, Z: 138.44
Orientation (relative to zeroed reference): X: 348.25, Y: 29.12, Z: 141.06
Orientation (relative to zeroed reference): X: 6.00, Y: 35.75, Z: 143.69
Orientation (relative to zeroed reference): X: 25.56, Y: 45.88, Z: 144.31
Orientation (relative to zeroed reference): X: 43.06, Y: 59.50, Z: 142.12
Orientation (relative to zeroed reference): X: 62.69, Y: 71.87, Z: 148.56
Orientation (relative to zeroed reference): X: 74.50, Y: 77.94, Z: 162.94
Orientation (relative to zeroed reference): X: 76.50, Y: 80.50, Z: 172.31
Orientation (relative to zeroed reference): X: 78.37, Y: 82.87, Z: -175.31
Orientation (relative to zeroed reference): X: 81.87, Y: 83.31, Z: -177.50
Orientation (relative to zeroed reference): X: 85.12, Y: 83.31, Z: -176.12
Orientation (relative to zeroed reference): X: 86.94, Y: 83.25, Z: -175.06
Orientation (relative to zeroed reference): X: 87.75, Y: 83.31, Z: -174.62
Orientation (relative to zeroed reference): X: 88.94, Y: 82.87, Z: -123.75
Orientation (relative to zeroed reference): X: 89.62, Y: 82.44, Z: -122.37
Orientation (relative to zeroed reference): X: 89.00, Y: 82.37, Z: -123.44
Orientation (relative to zeroed reference): X: 87.94, Y: 82.12, Z: -129.50
